name,score
discretize_3_5,63.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,85.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,63.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,24.0
discretize_3_5,100.0
discretize_3_5,94.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,79.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,43.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,100.0
discretize_3_5,51.0
discretize_3_5,100.0
discretize_3_5,15.0
discount_0.9,40.0
discount_0.9,12.0
discount_0.9,67.0
discount_0.9,7.0
discount_0.9,3.0
discount_0.9,80.0
discount_0.9,23.0
discount_0.9,22.0
discount_0.9,41.0
discount_0.9,40.0
discount_0.9,43.0
discount_0.9,12.0
discount_0.9,17.0
discount_0.9,4.0
discount_0.9,44.0
discount_0.9,6.0
discount_0.9,8.0
discount_0.9,5.0
discount_0.9,13.0
discount_0.9,26.0
discount_0.9,23.0
discount_0.9,15.0
discount_0.9,19.0
discount_0.9,29.0
discount_0.9,17.0
discount_0.9,31.0
discount_0.9,16.0
discount_0.9,1.0
discount_0.9,34.0
discount_0.9,14.0
discount_0.9,13.0
discount_0.9,14.0
discount_0.9,10.0
discount_0.9,22.0
discount_0.9,66.0
discount_0.9,6.0
discount_0.9,39.0
discount_0.9,13.0
discount_0.9,14.0
discount_0.9,13.0
discount_0.9,71.0
discount_0.9,43.0
discount_0.9,20.0
discount_0.9,9.0
discount_0.9,18.0
discount_0.9,14.0
discount_0.9,54.0
discount_0.9,36.0
discount_0.9,8.0
discount_0.9,5.0
discount_0.9,14.0
discount_0.9,37.0
discount_0.9,4.0
discount_0.9,11.0
discount_0.9,7.0
discount_0.9,1.0
discount_0.9,25.0
discount_0.9,7.0
discount_0.9,13.0
discount_0.9,8.0
discount_0.9,38.0
discount_0.9,24.0
discount_0.9,16.0
discount_0.9,8.0
discount_0.9,19.0
discount_0.9,12.0
discount_0.9,5.0
discount_0.9,6.0
discount_0.9,19.0
discount_0.9,24.0
discount_0.9,21.0
discount_0.9,43.0
discount_0.9,1.0
discount_0.9,21.0
discount_0.9,18.0
discount_0.9,11.0
discount_0.9,12.0
discount_0.9,14.0
discount_0.9,46.0
discount_0.9,1.0
discount_0.9,40.0
discount_0.9,37.0
discount_0.9,15.0
discount_0.9,9.0
discount_0.9,13.0
discount_0.9,14.0
discount_0.9,37.0
discount_0.9,10.0
discount_0.9,28.0
discount_0.9,9.0
discount_0.9,8.0
discount_0.9,34.0
discount_0.9,50.0
discount_0.9,7.0
discount_0.9,33.0
discount_0.9,47.0
discount_0.9,12.0
discount_0.9,16.0
discount_0.9,15.0
discount_0.9,5.0
discount_0.95,39.0
discount_0.95,8.0
discount_0.95,7.0
discount_0.95,28.0
discount_0.95,7.0
discount_0.95,18.0
discount_0.95,2.0
discount_0.95,21.0
discount_0.95,23.0
discount_0.95,16.0
discount_0.95,8.0
discount_0.95,1.0
discount_0.95,15.0
discount_0.95,8.0
discount_0.95,1.0
discount_0.95,22.0
discount_0.95,40.0
discount_0.95,4.0
discount_0.95,38.0
discount_0.95,100.0
discount_0.95,26.0
discount_0.95,47.0
discount_0.95,16.0
discount_0.95,4.0
discount_0.95,25.0
discount_0.95,22.0
discount_0.95,8.0
discount_0.95,1.0
discount_0.95,16.0
discount_0.95,23.0
discount_0.95,4.0
discount_0.95,22.0
discount_0.95,32.0
discount_0.95,15.0
discount_0.95,25.0
discount_0.95,7.0
discount_0.95,99.0
discount_0.95,1.0
discount_0.95,67.0
discount_0.95,56.0
discount_0.95,25.0
discount_0.95,11.0
discount_0.95,11.0
discount_0.95,3.0
discount_0.95,27.0
discount_0.95,16.0
discount_0.95,30.0
discount_0.95,11.0
discount_0.95,8.0
discount_0.95,65.0
discount_0.95,8.0
discount_0.95,22.0
discount_0.95,1.0
